Model,Group,mn_ksn,std_ksn,stde_ksn,mn_ksnqr,std_ksnqr,stde_ksnqr,mn_ksnqp,std_ksnqp,stde_ksnqp,mn_E,std_E,stde_E,p25_E,p75_E,mn_R,mn_P,cr,sr,U,perc_E_std,perc_U,int_qrt_E
bc8u_RO,bcu_R,358.3378110519084,21.70832099289065,0.9708256283497844,579.8614139638248,62.40982805806495,2.7910523600381385,607.8724694493114,61.293413634628834,2.7411247892008506,7976.6695267108025,372.5431473754158,5.548000118332204,7975.12699248382,8020.1578124662765,7.8703748818616495,8.5404574783859,1.9963504042076188,1.9963504042076188,8000,4.670409700789432,-0.2916309161149684,45.030819982456705
bc025l_RO,bcl_R,155.0906623737003,0.3997104585838097,0.017875595134220258,131.88352119717547,0.5186146886942464,0.02319315396100453,161.21588217263144,0.5498123318877802,0.024588354979375036,248.85526237208435,11.74613523557595,0.17492620689987184,246.46863189400392,252.29684667938272,1.9744581702472976,2.953324943361903,0.5561136037771606,0.5561136037771606,250,4.7200670476533135,-0.4578950511662583,5.828214785378805
bc05l_RO,bcl_R,171.90775925187486,0.5302333867867278,0.023712757935901243,158.1651062928199,0.6758528708060543,0.03022505923821441,188.11723057682104,0.7243115839462033,0.032392198771885115,499.29474848933154,23.41779912567667,0.3487433690181668,495.873506820044,505.05044094902587,2.310554111511071,3.2718186840596375,0.5784374520111352,0.5784374520111352,500,4.690175331611171,-0.14105030213369218,9.176934128981884
bc1l_RO,bcl_R,192.12350883604242,0.5114997957551946,0.022874966275717466,192.67042188737798,0.708909932422971,0.031703415976450905,223.08935043339523,0.749570520609868,0.033521812760271434,998.3476851859167,45.6856981443281,0.6803621553543244,994.0253083743302,1006.6515529802929,2.7458126692649056,3.684281642429382,0.6039811750765349,0.6039811750765349,1000,4.576131023514149,-0.16523148140832972,12.626244605962711
bc2l_RO,bcl_R,216.43807888060059,0.5844392824257308,0.026136919284502645,238.38610261429608,0.8699832588257346,0.03890683412042273,269.01629474927876,0.9105157657624833,0.040719502936603764,1996.5919862357723,90.57230268032966,1.3488240208636,1991.0496024505846,2009.9967291615028,3.312883915212666,4.221653922751813,0.63305005117034,0.63305005117034,2000,4.536345097281894,-0.1704006882113845,18.947126710918155
bc4l_RO,bcl_R,246.41745079861764,0.882095793417982,0.039448523134984384,300.98233263846214,1.4217842587290808,0.06358412503714746,331.43512710260256,1.4723776727275029,0.06584673129543268,3988.617402333825,182.1909484767004,2.713230429358027,3971.326932426564,4018.1634817719896,4.076656338875607,4.945425639064428,0.6668016185207313,0.6668016185207313,4000,4.567771989614662,-0.2845649416543779,46.83654934542574
bc8l_RO,bcl_R,283.3516352605772,1.0776763583961535,0.04819515190236451,387.5110564115887,1.8641794297038163,0.08336863854149047,417.17901570244226,1.9191049509268094,0.08582498252457488,7983.113040244336,363.05928250358954,5.406764173444143,7959.104907545771,8031.3081200265515,5.1124462589755755,5.9269686026277455,0.7056916857534443,0.7056916857534443,8000,4.547840932144405,-0.21108699694580083,72.20321248078017
gc025u_Area,gcu_A,289.3163914698888,66.85582072441875,2.989883196626791,298.2811475077567,109.26305128550102,4.886392202068521,346.54462599490347,112.50914722026252,5.03156202550077,249.63411888019942,11.976839371131712,0.17836190711441177,247.8928241637732,252.62620498665456,4.14472616001756,5.0840996716111295,1.7818754242904151,1.7818754242904151,250,4.797757383829192,-0.14635244792023058,4.733380822881344
gc05u_Area,gcu_A,311.5658906967739,65.03853580218826,2.9086117442149355,343.8479174630125,114.89109219606104,5.138085843191761,391.84880373286614,117.1026966959747,5.236991803214789,498.8416479578892,23.16169616075523,0.3449294234666263,496.0255964670523,502.66038327308706,4.572276660344982,5.490799753362505,1.842504152620312,1.842504152620312,500,4.6430959114124475,-0.23167040842215555,6.634786806034754
gc1u_Area,gcu_A,333.4279285254637,62.5868488498678,2.7989689705161784,391.0897562468661,118.57647489415312,5.302901167912471,438.6878324108259,120.02188673889937,5.367541950719191,997.6523020877696,45.958466839218666,0.6844242908739054,994.8072245363618,1004.8293809166353,5.0152757103005,5.912195003034102,1.8931199258341818,1.8931199258341818,1000,4.606661734057265,-0.23476979122303873,10.022156380273486
