,GRDC_NO,R_AREA,H_AREA,START,END,LENGTH,MIN_Z,MN_Z,MAX_Z,E_NORM_CRLF,ERR_HI,BW,BE,BN,BS,CX,CY,R_Q,H_Q,R_R,H_R,MIN_R,MN_R,MAX_R
2347,6731601,3650.0,3693.1,1908,2018,111,50.0,668.039718609486,1640.0,0.0,0.0,13.038071695963254,15.652773030598553,65.78526204427078,65.12307128906235,13.97174945123994,65.42319275390044,148.028,127.42,3.504005260273972,2.980988329587609,84.0,512.6938252502297,1083.0
2348,6731610,520.0,522.4,1908,2018,111,39.0,451.9979879275654,1460.0,0.0,0.0,13.22229207356736,13.747798665364144,66.08946533203112,65.7605712890624,13.519565489391136,65.918683506352,32.392,24.48,5.382055384615386,4.048759571209801,93.0,629.1874266554904,1149.0
2349,6731650,16.1,11.0,1916,2018,103,80.0,544.140625,1000.0,0.0,0.0,13.16012369791639,13.240000406900776,66.42742716471327,66.37916666666655,13.200920059693836,66.39828118750867,1.92,0.58,10.303602484472048,4.5556363636363635,607.0,895.7421875,1018.0
2350,6731680,422.0,395.0,1937,2018,82,213.0,858.0134903640256,1494.0,0.0,0.0,15.42716267903603,16.01328124999958,66.92700398762997,66.67423299153626,15.74727880399382,66.79281992283398,14.392,11.25,2.9466085308056873,2.460759493670886,242.0,772.7909168808911,1313.0
2351,6731685,386.0,306.1,1916,2018,103,8.0,595.5513470258736,1320.0,0.0,0.0,15.806404622395462,16.369539388020428,67.76026204427063,67.55140177408828,16.120084975923742,67.64296200433454,25.867,9.97,5.789919170984456,2.814139170205815,276.0,782.962123232862,1123.0
2352,6731900,178.0,127.7,1925,2018,94,1.0,214.8953004164188,794.0,0.0,0.0,17.393829345702784,17.78596191406217,69.34995117187475,69.19999999999976,17.591553740783777,69.2708500054794,11.003,2.82,5.34078202247191,1.907971808927173,200.0,448.6037959667853,824.0
2353,6731905,580.0,465.7,1913,2015,103,7.0,611.6962851405623,1434.0,0.0,0.0,17.872041829426564,18.41445515950477,68.90590209960914,68.53978983561171,18.13543857504342,68.7150592844837,21.492,10.42,3.201566896551724,1.9331930427313722,298.0,785.1749539594844,1202.0
2354,6731907,3239.0,2910.8,1907,2018,112,32.0,682.7813164045899,1600.0,0.0,0.0,18.56045735677037,20.39166666666614,69.1895416259764,68.5581888834634,19.51436170060749,68.88850096412159,86.58,49.34,2.30951281259648,1.4645375841693007,112.0,746.509884678748,1477.0
2355,6744100,3702.0,3728.1,1951,2008,58,87.0,329.41887299454675,1765.0,0.0,0.0,21.50000406900989,22.75331217447865,47.006133015949956,46.37695312499949,22.17462926615383,46.661383678228994,29.531,18.02,0.6892162074554294,0.4176196990424077,1.0,207.05796357027145,1071.0
2356,6744600,1547.0,1546.0,1950,2008,59,366.0,1017.3390573961736,2182.0,0.0,0.0,24.14750569661402,24.88861490885364,47.9720682779942,47.55403137206986,24.54804842328364,47.76747288129662,34.853,17.59,1.9465411764705882,0.9830375161707633,181.0,673.1702999813676,1535.0
2357,6781500,1040.0,1063.1,1978,1987,10,91.0,176.19326936072443,275.0,0.0,0.0,27.439737955728617,27.94415690104097,48.263341267903115,47.754166666666094,27.675398882512084,47.98310573022974,1.568,8.17,0.1302646153846154,0.6639902172890604,43.0,84.47189189189189,135.0
2358,6794255,-999.0,3579.0,1963,2016,54,221.0,738.7470931708556,1557.0,0.0,0.0,35.800313313801325,36.79829508463462,32.57499999999982,31.86501464843718,36.239108139265724,32.160000388171554,1.667,1.53,0.04024274937133277,0.03693545683151719,6.0,125.59896388846565,643.0
2359,6830510,11165.0,11633.7,1959,2015,57,,,,0.0,0.0,,,,,,,,,,,,,
